Iteration, eigenvalue, x_factor, lambda_factor, norm_x_change, gradient_lambda
  8101, -0.0663888, -0.0417795, -0.0246093, 0.0000916, 0.0544384
  8201, -0.0682068, -0.0418477, -0.0263592, 0.0000921, 0.0597493
  8301, -0.0699589, -0.0419232, -0.0280357, 0.0000927, 0.0651482
  8401, -0.0716436, -0.0420072, -0.0296364, 0.0000933, 0.0706355
  8501, -0.0732593, -0.0421003, -0.0311590, 0.0000939, 0.0762114
  8601, -0.0748045, -0.0422035, -0.0326010, 0.0000946, 0.0818765
  8701, -0.0762776, -0.0423176, -0.0339600, 0.0000952, 0.0876310
  8801, -0.0776771, -0.0424435, -0.0352336, 0.0000959, 0.0934754
  8901, -0.0790013, -0.0425821, -0.0364192, 0.0000966, 0.0994100
  9001, -0.0802486, -0.0427343, -0.0375144, 0.0000974, 0.1054352
  9101, -0.0814174, -0.0429010, -0.0385164, 0.0000982, 0.1115513
  9201, -0.0825059, -0.0430831, -0.0394228, 0.0000990, 0.1177585
  9301, -0.0835124, -0.0432816, -0.0402307, 0.0000998, 0.1240567
  9401, -0.0844351, -0.0434975, -0.0409377, 0.0001007, 0.1304462
  9501, -0.0852723, -0.0437315, -0.0415408, 0.0001016, 0.1369269
  9601, -0.0860222, -0.0439849, -0.0420374, 0.0001026, 0.1434986
  9701, -0.0866830, -0.0442584, -0.0424246, 0.0001036, 0.1501611
  9801, -0.0872529, -0.0445532, -0.0426997, 0.0001047, 0.1569138
  9901, -0.0877299, -0.0448703, -0.0428597, 0.0001058, 0.1637563
 10001, -0.0881123, -0.0452106, -0.0429017, 0.0001069, 0.1706873
 10101, -0.0883980, -0.0455751, -0.0428229, 0.0001080, 0.1777060
 10201, -0.0885852, -0.0459650, -0.0426203, 0.0001092, 0.1848108
 10301, -0.0886719, -0.0463812, -0.0422908, 0.0001103, 0.1919995
 10401, -0.0886561, -0.0468247, -0.0418315, 0.0001115, 0.1992700
 10501, -0.0885358, -0.0472966, -0.0412393, 0.0001126, 0.2066190
 10601, -0.0883089, -0.0477978, -0.0405112, 0.0001137, 0.2140428
 10701, -0.0879734, -0.0483293, -0.0396441, 0.0001147, 0.2215367
 10801, -0.0875271, -0.0488920, -0.0386351, 0.0001156, 0.2290950
 10901, -0.0869682, -0.0494869, -0.0374813, 0.0001164, 0.2367111
 11001, -0.0862945, -0.0501148, -0.0361797, 0.0001171, 0.2443769
 11101, -0.0855043, -0.0507766, -0.0347277, 0.0001176, 0.2520825
 11201, -0.0845955, -0.0514729, -0.0331226, 0.0001178, 0.2598163
 11301, -0.0835667, -0.0522043, -0.0313624, 0.0001178, 0.2675656
 11401, -0.0824161, -0.0529713, -0.0294448, 0.0001175, 0.2753134
 11501, -0.0811425, -0.0537741, -0.0273683, 0.0001169, 0.2830409
 11601, -0.0797447, -0.0546130, -0.0251316, 0.0001160, 0.2907225
 11701, -0.0782219, -0.0554877, -0.0227342, 0.0001147, 0.2983288
 11801, -0.0765736, -0.0563977, -0.0201759, 0.0001132, 0.3058208
 11901, -0.0747998, -0.0573416, -0.0174582, 0.0001117, 0.3131504
 12001, -0.0729009, -0.0583173, -0.0145836, 0.0001108, 0.3202550
 12101, -0.0708781, -0.0593212, -0.0115568, 0.0001113, 0.3270579
 12201, -0.0687333, -0.0603472, -0.0083861, 0.0001138, 0.3334852
 12301, -0.0664691, -0.0613859, -0.0050832, 0.0001161, 0.3395287
 12401, -0.0640884, -0.0624282, -0.0016602, 0.0001157, 0.3452815
 12501, -0.0615935, -0.0634687, 0.0018753, 0.0001131, 0.3508669
 12601, -0.0589861, -0.0645061, 0.0055201, 0.0001098, 0.3563516
 12701, -0.0562677, -0.0655397, 0.0092719, 0.0001065, 0.3617478
 12801, -0.0534401, -0.0665681, 0.0131280, 0.0001034, 0.3670472
 12901, -0.0505048, -0.0675894, 0.0170847, 0.0001003, 0.3722331
 13001, -0.0474636, -0.0686008, 0.0211371, 0.0000973, 0.3772861
 13101, -0.0443189, -0.0695988, 0.0252799, 0.0000944, 0.3821862
 13201, -0.0410729, -0.0705800, 0.0295071, 0.0000916, 0.3869193
 13301, -0.0377281, -0.0715417, 0.0338136, 0.0000891, 0.3914851
 13401, -0.0342870, -0.0724822, 0.0381952, 0.0000870, 0.3958929
 13501, -0.0307522, -0.0734001, 0.0426479, 0.0000850, 0.4001506
 13601, -0.0271262, -0.0742935, 0.0471674, 0.0000832, 0.4042593
 13701, -0.0234115, -0.0751596, 0.0517481, 0.0000814, 0.4082111
 13801, -0.0196113, -0.0759943, 0.0563830, 0.0000796, 0.4119894
 13901, -0.0157293, -0.0767935, 0.0610642, 0.0000778, 0.4155774
 14001, -0.0117695, -0.0775544, 0.0657849, 0.0000763, 0.4189694
 14101, -0.0077362, -0.0782745, 0.0705383, 0.0000749, 0.4221600
 14201, -0.0036341, -0.0789508, 0.0753167, 0.0000736, 0.4251409
 14301, 0.0005318, -0.0795809, 0.0801127, 0.0000726, 0.4279068
 14401, 0.0047560, -0.0801632, 0.0849192, 0.0000717, 0.4304544
 14501, 0.0090327, -0.0806998, 0.0897325, 0.0000712, 0.4327978
 14601, 0.0133570, -0.0811993, 0.0945563, 0.0000710, 0.4349809
 14701, 0.0177258, -0.0816747, 0.0994005, 0.0000710, 0.4370668
 14801, 0.0221383, -0.0821379, 0.1042762, 0.0000712, 0.4391129
 14901, 0.0265947, -0.0825959, 0.1091907, 0.0000714, 0.4411512
 15001, 0.0310954, -0.0830519, 0.1141472, 0.0000716, 0.4431951
 15101, 0.0356401, -0.0835062, 0.1191463, 0.0000719, 0.4452449
 15201, 0.0402286, -0.0839589, 0.1241875, 0.0000720, 0.4472982
 15301, 0.0448602, -0.0844106, 0.1292707, 0.0000722, 0.4493546
 15401, 0.0495347, -0.0848629, 0.1343976, 0.0000724, 0.4514190
 15501, 0.0542521, -0.0853166, 0.1395688, 0.0000725, 0.4534926
 15601, 0.0590119, -0.0857712, 0.1447831, 0.0000727, 0.4555712
 15701, 0.0638130, -0.0862256, 0.1500386, 0.0000728, 0.4576482
 15801, 0.0686542, -0.0866793, 0.1553335, 0.0000729, 0.4597186
 15901, 0.0735341, -0.0871318, 0.1606659, 0.0000730, 0.4617780
 16001, 0.0784515, -0.0875829, 0.1660344, 0.0000731, 0.4638231
 16101, 0.0834049, -0.0880326, 0.1714375, 0.0000732, 0.4658511
 16201, 0.0883926, -0.0884803, 0.1768730, 0.0000734, 0.4678578
 16301, 0.0934130, -0.0889251, 0.1823381, 0.0000735, 0.4698380
 16401, 0.0984641, -0.0893658, 0.1878300, 0.0000736, 0.4717862
 16501, 0.1035437, -0.0898013, 0.1933450, 0.0000738, 0.4736964
 16601, 0.1086495, -0.0902309, 0.1988804, 0.0000740, 0.4755646
 16701, 0.1137795, -0.0906543, 0.2044338, 0.0000742, 0.4773882
 16801, 0.1189317, -0.0910714, 0.2100031, 0.0000744, 0.4791657
 16901, 0.1241045, -0.0914818, 0.2155863, 0.0000747, 0.4808957
 17001, 0.1292954, -0.0918850, 0.2211804, 0.0000749, 0.4825750
 17101, 0.1345019, -0.0922801, 0.2267820, 0.0000752, 0.4841995
 17201, 0.1397214, -0.0926665, 0.2323879, 0.0000755, 0.4857661
 17301, 0.1449508, -0.0930435, 0.2379943, 0.0000758, 0.4872705
 17401, 0.1501870, -0.0934104, 0.2435975, 0.0000761, 0.4887091
 17501, 0.1554267, -0.0937665, 0.2491932, 0.0000765, 0.4900778
 17601, 0.1606656, -0.0941104, 0.2547759, 0.0000769, 0.4913698
 17701, 0.1658993, -0.0944410, 0.2603404, 0.0000774, 0.4925796
 17801, 0.1711231, -0.0947571, 0.2658802, 0.0000779, 0.4937003
 17901, 0.1763314, -0.0950572, 0.2713886, 0.0000785, 0.4947243
 18001, 0.1815175, -0.0953396, 0.2768571, 0.0000792, 0.4956419
 18101, 0.1866749, -0.0956029, 0.2822778, 0.0000800, 0.4964449
 18201, 0.1917956, -0.0958453, 0.2876410, 0.0000808, 0.4971225
 18301, 0.1968706, -0.0960643, 0.2929349, 0.0000818, 0.4976618
 18401, 0.2018890, -0.0962573, 0.2981463, 0.0000829, 0.4980472
 18501, 0.2068382, -0.0964213, 0.3032595, 0.0000843, 0.4982614
 18601, 0.2117041, -0.0965528, 0.3082569, 0.0000859, 0.4982841
 18701, 0.2164690, -0.0966477, 0.3131166, 0.0000878, 0.4980902
 18801, 0.2211119, -0.0967007, 0.3178126, 0.0000900, 0.4976493
 18901, 0.2256082, -0.0967062, 0.3223144, 0.0000927, 0.4969267
 19001, 0.2299268, -0.0966568, 0.3265836, 0.0000960, 0.4958772
 19101, 0.2340297, -0.0965434, 0.3305730, 0.0001001, 0.4944458
 19201, 0.2378710, -0.0963557, 0.3342266, 0.0001050, 0.4925675
 19301, 0.2413984, -0.0960829, 0.3374813, 0.0001107, 0.4901709
 19401, 0.2445616, -0.0957163, 0.3402779, 0.0001169, 0.4871943
 19501, 0.2473277, -0.0952541, 0.3425818, 0.0001226, 0.4836132
 19601, 0.2497005, -0.0947062, 0.3444067, 0.0001267, 0.4794713
 19701, 0.2517236, -0.0940926, 0.3458162, 0.0001287, 0.4748780
 19801, 0.2534521, -0.0934343, 0.3468864, 0.0001290, 0.4699533
 19901, 0.2549273, -0.0927463, 0.3476736, 0.0001285, 0.4647849
 20001, 0.2561687, -0.0920361, 0.3482047, 0.0001277, 0.4594173
