Iteration, eigenvalue, x_factor, lambda_factor, norm_x_change, gradient_lambda
 71801, -0.2654726, -0.0552726, -0.2102001, 0.0000540, 0.0780360
 71901, -0.2739864, -0.0555255, -0.2184609, 0.0000536, 0.0814191
 72001, -0.2823160, -0.0557799, -0.2265362, 0.0000532, 0.0847583
 72101, -0.2904645, -0.0560355, -0.2344290, 0.0000528, 0.0880543
 72201, -0.2984357, -0.0562924, -0.2421432, 0.0000525, 0.0913081
 72301, -0.3062332, -0.0565505, -0.2496827, 0.0000521, 0.0945206
 72401, -0.3138597, -0.0568095, -0.2570502, 0.0000518, 0.0976924
 72501, -0.3213190, -0.0570694, -0.2642496, 0.0000515, 0.1008244
 72601, -0.3286141, -0.0573301, -0.2712840, 0.0000512, 0.1039174
 72701, -0.3357479, -0.0575915, -0.2781564, 0.0000509, 0.1069720
 72801, -0.3427237, -0.0578534, -0.2848702, 0.0000505, 0.1099892
 72901, -0.3495439, -0.0581159, -0.2914280, 0.0000502, 0.1129694
 73001, -0.3562119, -0.0583788, -0.2978331, 0.0000499, 0.1159135
 73101, -0.3627301, -0.0586421, -0.3040880, 0.0000496, 0.1188221
 73201, -0.3691015, -0.0589056, -0.3101959, 0.0000494, 0.1216958
 73301, -0.3753284, -0.0591693, -0.3161591, 0.0000490, 0.1245354
 73401, -0.3814135, -0.0594332, -0.3219803, 0.0000488, 0.1273414
 73501, -0.3873594, -0.0596971, -0.3276624, 0.0000485, 0.1301144
 73601, -0.3931690, -0.0599610, -0.3332080, 0.0000483, 0.1328553
 73701, -0.3988441, -0.0602249, -0.3386192, 0.0000480, 0.1355643
 73801, -0.4043872, -0.0604886, -0.3438986, 0.0000477, 0.1382422
 73901, -0.4098004, -0.0607522, -0.3490483, 0.0000474, 0.1408895
 74001, -0.4150865, -0.0610155, -0.3540710, 0.0000472, 0.1435068
 74101, -0.4202471, -0.0612786, -0.3589685, 0.0000470, 0.1460945
 74201, -0.4252847, -0.0615414, -0.3637433, 0.0000467, 0.1486532
 74301, -0.4302014, -0.0618038, -0.3683976, 0.0000465, 0.1511836
 74401, -0.4349990, -0.0620658, -0.3729332, 0.0000462, 0.1536859
 74501, -0.4396799, -0.0623274, -0.3773525, 0.0000460, 0.1561608
 74601, -0.4442457, -0.0625885, -0.3816572, 0.0000458, 0.1586087
 74701, -0.4486986, -0.0628491, -0.3858494, 0.0000456, 0.1610302
 74801, -0.4530404, -0.0631092, -0.3899312, 0.0000453, 0.1634256
 74901, -0.4572733, -0.0633688, -0.3939045, 0.0000451, 0.1657956
 75001, -0.4613981, -0.0636277, -0.3977704, 0.0000449, 0.1681403
 75101, -0.4654174, -0.0638860, -0.4015314, 0.0000446, 0.1704603
 75201, -0.4693328, -0.0641436, -0.4051891, 0.0000444, 0.1727562
 75301, -0.4731460, -0.0644006, -0.4087454, 0.0000442, 0.1750282
 75401, -0.4768586, -0.0646569, -0.4122017, 0.0000440, 0.1772768
 75501, -0.4804724, -0.0649125, -0.4155599, 0.0000438, 0.1795025
 75601, -0.4839891, -0.0651674, -0.4188217, 0.0000436, 0.1817057
 75701, -0.4874099, -0.0654215, -0.4219884, 0.0000434, 0.1838866
 75801, -0.4907368, -0.0656749, -0.4250619, 0.0000433, 0.1860459
 75901, -0.4939708, -0.0659275, -0.4280432, 0.0000430, 0.1881836
 76001, -0.4971135, -0.0661794, -0.4309341, 0.0000428, 0.1903003
 76101, -0.5001668, -0.0664304, -0.4337364, 0.0000426, 0.1923964
 76201, -0.5031317, -0.0666806, -0.4364510, 0.0000424, 0.1944722
 76301, -0.5060098, -0.0669300, -0.4390798, 0.0000423, 0.1965281
 76401, -0.5088026, -0.0671786, -0.4416240, 0.0000421, 0.1985645
 76501, -0.5115111, -0.0674264, -0.4440847, 0.0000419, 0.2005816
 76601, -0.5141366, -0.0676733, -0.4464633, 0.0000417, 0.2025797
 76701, -0.5166812, -0.0679194, -0.4487618, 0.0000416, 0.2045595
 76801, -0.5191458, -0.0681647, -0.4509810, 0.0000414, 0.2065211
 76901, -0.5215308, -0.0684091, -0.4531217, 0.0000412, 0.2084647
 77001, -0.5238385, -0.0686527, -0.4551858, 0.0000411, 0.2103908
 77101, -0.5260696, -0.0688954, -0.4571742, 0.0000409, 0.2122996
 77201, -0.5282253, -0.0691373, -0.4590880, 0.0000408, 0.2141915
 77301, -0.5303073, -0.0693783, -0.4609290, 0.0000406, 0.2160669
 77401, -0.5323165, -0.0696185, -0.4626980, 0.0000405, 0.2179261
 77501, -0.5342538, -0.0698579, -0.4643959, 0.0000403, 0.2197692
 77601, -0.5361206, -0.0700964, -0.4660241, 0.0000402, 0.2215968
 77701, -0.5379174, -0.0703341, -0.4675833, 0.0000400, 0.2234088
 77801, -0.5396459, -0.0705710, -0.4690749, 0.0000399, 0.2252057
 77901, -0.5413071, -0.0708070, -0.4705001, 0.0000398, 0.2269879
 78001, -0.5429017, -0.0710422, -0.4718595, 0.0000396, 0.2287555
 78101, -0.5444313, -0.0712766, -0.4731547, 0.0000395, 0.2305090
 78201, -0.5458967, -0.0715102, -0.4743865, 0.0000394, 0.2322487
 78301, -0.5472988, -0.0717430, -0.4755557, 0.0000392, 0.2339747
 78401, -0.5486387, -0.0719751, -0.4766636, 0.0000392, 0.2356874
 78501, -0.5499171, -0.0722064, -0.4777107, 0.0000391, 0.2373869
 78601, -0.5511349, -0.0724369, -0.4786980, 0.0000389, 0.2390736
 78701, -0.5522935, -0.0726666, -0.4796269, 0.0000388, 0.2407478
 78801, -0.5533934, -0.0728956, -0.4804978, 0.0000388, 0.2424096
 78901, -0.5544355, -0.0731239, -0.4813116, 0.0000386, 0.2440594
 79001, -0.5554211, -0.0733514, -0.4820696, 0.0000385, 0.2456975
 79101, -0.5563507, -0.0735782, -0.4827724, 0.0000384, 0.2473241
 79201, -0.5572254, -0.0738044, -0.4834210, 0.0000383, 0.2489396
 79301, -0.5580463, -0.0740299, -0.4840164, 0.0000383, 0.2505442
 79401, -0.5588132, -0.0742547, -0.4845585, 0.0000381, 0.2521378
 79501, -0.5595276, -0.0744788, -0.4850488, 0.0000380, 0.2537209
 79601, -0.5601906, -0.0747023, -0.4854883, 0.0000380, 0.2552940
 79701, -0.5608031, -0.0749253, -0.4858778, 0.0000379, 0.2568573
 79801, -0.5613648, -0.0751475, -0.4862172, 0.0000379, 0.2584105
 79901, -0.5618775, -0.0753693, -0.4865083, 0.0000378, 0.2599545
 80001, -0.5623419, -0.0755904, -0.4867515, 0.0000377, 0.2614894
 80101, -0.5627585, -0.0758110, -0.4869475, 0.0000377, 0.2630154
 80201, -0.5631274, -0.0760311, -0.4870964, 0.0000376, 0.2645323
 80301, -0.5634509, -0.0762507, -0.4872002, 0.0000376, 0.2660413
 80401, -0.5637278, -0.0764697, -0.4872581, 0.0000375, 0.2675415
 80501, -0.5639602, -0.0766883, -0.4872720, 0.0000374, 0.2690340
 80601, -0.5641485, -0.0769064, -0.4872421, 0.0000374, 0.2705188
 80701, -0.5642933, -0.0771241, -0.4871692, 0.0000374, 0.2719962
 80801, -0.5643952, -0.0773414, -0.4870538, 0.0000374, 0.2734663
 80901, -0.5644549, -0.0775583, -0.4868966, 0.0000373, 0.2749294
 81001, -0.5644727, -0.0777747, -0.4866979, 0.0000373, 0.2763855
 81101, -0.5644499, -0.0779909, -0.4864590, 0.0000373, 0.2778353
 81201, -0.5643866, -0.0782067, -0.4861799, 0.0000373, 0.2792787
 81301, -0.5642841, -0.0784222, -0.4858618, 0.0000373, 0.2807162
 81401, -0.5641422, -0.0786375, -0.4855047, 0.0000372, 0.2821478
 81501, -0.5639614, -0.0788524, -0.4851090, 0.0000372, 0.2835735
 81601, -0.5637432, -0.0790671, -0.4846761, 0.0000372, 0.2849942
 81701, -0.5634879, -0.0792816, -0.4842063, 0.0000372, 0.2864098
 81801, -0.5631958, -0.0794960, -0.4836999, 0.0000373, 0.2878205
 81901, -0.5628681, -0.0797102, -0.4831579, 0.0000373, 0.2892268
 82001, -0.5625043, -0.0799242, -0.4825801, 0.0000373, 0.2906284
 82101, -0.5621056, -0.0801381, -0.4819675, 0.0000373, 0.2920260
 82201, -0.5616723, -0.0803519, -0.4813203, 0.0000373, 0.2934196
 82301, -0.5612055, -0.0805657, -0.4806398, 0.0000373, 0.2948098
 82401, -0.5607050, -0.0807795, -0.4799255, 0.0000374, 0.2961964
 82501, -0.5601719, -0.0809933, -0.4791787, 0.0000374, 0.2975799
 82601, -0.5596065, -0.0812070, -0.4783994, 0.0000374, 0.2989606
 82701, -0.5590092, -0.0814209, -0.4775883, 0.0000375, 0.3003385
 82801, -0.5583807, -0.0816349, -0.4767458, 0.0000375, 0.3017141
 82901, -0.5577212, -0.0818489, -0.4758723, 0.0000376, 0.3030875
 83001, -0.5570311, -0.0820631, -0.4749681, 0.0000376, 0.3044587
 83101, -0.5563115, -0.0822775, -0.4740340, 0.0000377, 0.3058285
 83201, -0.5555625, -0.0824921, -0.4730704, 0.0000377, 0.3071969
 83301, -0.5547846, -0.0827069, -0.4720776, 0.0000378, 0.3085641
 83401, -0.5539783, -0.0829221, -0.4710562, 0.0000379, 0.3099305
 83501, -0.5531436, -0.0831375, -0.4700061, 0.0000380, 0.3112960
 83601, -0.5522816, -0.0833533, -0.4689283, 0.0000380, 0.3126613
 83701, -0.5513920, -0.0835694, -0.4678226, 0.0000382, 0.3140262
 83801, -0.5504765, -0.0837860, -0.4666904, 0.0000382, 0.3153918
 83901, -0.5495341, -0.0840031, -0.4655311, 0.0000383, 0.3167575
 84001, -0.5485664, -0.0842206, -0.4643458, 0.0000385, 0.3181241
 84101, -0.5475731, -0.0844387, -0.4631343, 0.0000386, 0.3194916
 84201, -0.5465547, -0.0846574, -0.4618973, 0.0000387, 0.3208603
 84301, -0.5455114, -0.0848766, -0.4606348, 0.0000388, 0.3222304
 84401, -0.5444443, -0.0850965, -0.4593478, 0.0000390, 0.3236026
 84501, -0.5433532, -0.0853171, -0.4580361, 0.0000391, 0.3249768
 84601, -0.5422388, -0.0855385, -0.4567004, 0.0000392, 0.3263536
 84701, -0.5411013, -0.0857606, -0.4553407, 0.0000394, 0.3277329
 84801, -0.5399415, -0.0859836, -0.4539579, 0.0000396, 0.3291155
 84901, -0.5387591, -0.0862074, -0.4525517, 0.0000397, 0.3305014
 85001, -0.5375548, -0.0864322, -0.4511227, 0.0000398, 0.3318908
 85101, -0.5363291, -0.0866579, -0.4496713, 0.0000400, 0.3332843
 85201, -0.5350822, -0.0868846, -0.4481976, 0.0000402, 0.3346821
 85301, -0.5338144, -0.0871124, -0.4467020, 0.0000403, 0.3360845
 85401, -0.5325263, -0.0873413, -0.4451849, 0.0000406, 0.3374919
 85501, -0.5312181, -0.0875715, -0.4436466, 0.0000408, 0.3389047
 85601, -0.5298902, -0.0878028, -0.4420874, 0.0000410, 0.3403232
 85701, -0.5285429, -0.0880354, -0.4405074, 0.0000412, 0.3417477
 85801, -0.5271761, -0.0882693, -0.4389068, 0.0000414, 0.3431784
 85901, -0.5257913, -0.0885047, -0.4372866, 0.0000416, 0.3446163
 86001, -0.5243875, -0.0887415, -0.4356460, 0.0000419, 0.3460610
 86101, -0.5229657, -0.0889799, -0.4339859, 0.0000421, 0.3475132
 86201, -0.5215263, -0.0892198, -0.4323065, 0.0000424, 0.3489735
 86301, -0.5200693, -0.0894613, -0.4306080, 0.0000426, 0.3504420
 86401, -0.5185954, -0.0897046, -0.4288907, 0.0000429, 0.3519194
 86501, -0.5171046, -0.0899497, -0.4271549, 0.0000432, 0.3534060
 86601, -0.5155975, -0.0901967, -0.4254008, 0.0000435, 0.3549022
 86701, -0.5140743, -0.0904455, -0.4236287, 0.0000438, 0.3564085
 86801, -0.5125351, -0.0906964, -0.4218386, 0.0000440, 0.3579254
 86901, -0.5109806, -0.0909495, -0.4200312, 0.0000444, 0.3594533
 87001, -0.5094107, -0.0912046, -0.4182061, 0.0000447, 0.3609927
 87101, -0.5078263, -0.0914621, -0.4163642, 0.0000450, 0.3625443
 87201, -0.5062275, -0.0917220, -0.4145055, 0.0000454, 0.3641086
 87301, -0.5046149, -0.0919844, -0.4126305, 0.0000458, 0.3656863
 87401, -0.5029888, -0.0922494, -0.4107394, 0.0000462, 0.3672780
 87501, -0.5013493, -0.0925170, -0.4088323, 0.0000466, 0.3688841
 87601, -0.4996974, -0.0927876, -0.4069098, 0.0000469, 0.3705056
 87701, -0.4980336, -0.0930612, -0.4049724, 0.0000474, 0.3721434
 87801, -0.4963587, -0.0933380, -0.4030207, 0.0000478, 0.3737986
 87901, -0.4946733, -0.0936182, -0.4010551, 0.0000483, 0.3754718
 88001, -0.4929782, -0.0939021, -0.3990762, 0.0000488, 0.3771644
 88101, -0.4912749, -0.0941898, -0.3970851, 0.0000493, 0.3788779
 88201, -0.4895642, -0.0944817, -0.3950825, 0.0000499, 0.3806136
 88301, -0.4878479, -0.0947781, -0.3930698, 0.0000505, 0.3823734
 88401, -0.4861271, -0.0950794, -0.3910478, 0.0000512, 0.3841588
 88501, -0.4844039, -0.0953859, -0.3890180, 0.0000519, 0.3859724
 88601, -0.4826800, -0.0956982, -0.3869818, 0.0000527, 0.3878162
 88701, -0.4809576, -0.0960167, -0.3849409, 0.0000535, 0.3896928
 88801, -0.4792385, -0.0963419, -0.3828966, 0.0000543, 0.3916047
 88901, -0.4775243, -0.0966743, -0.3808500, 0.0000553, 0.3935542
 89001, -0.4758162, -0.0970141, -0.3788021, 0.0000563, 0.3955434
 89101, -0.4741146, -0.0973617, -0.3767529, 0.0000573, 0.3975738
 89201, -0.4724192, -0.0977173, -0.3747020, 0.0000583, 0.3996461
 89301, -0.4707284, -0.0980806, -0.3726478, 0.0000593, 0.4017602
 89401, -0.4690394, -0.0984514, -0.3705880, 0.0000602, 0.4039146
 89501, -0.4673485, -0.0988293, -0.3685192, 0.0000611, 0.4061073
 89601, -0.4656516, -0.0992137, -0.3664379, 0.0000619, 0.4083354
 89701, -0.4639446, -0.0996040, -0.3643405, 0.0000627, 0.4105962
 89801, -0.4622230, -0.0999997, -0.3622234, 0.0000633, 0.4128863
 89901, -0.4604836, -0.1004002, -0.3600835, 0.0000639, 0.4152036
 90001, -0.4587236, -0.1008052, -0.3579184, 0.0000644, 0.4175461
 90101, -0.4569410, -0.1012144, -0.3557266, 0.0000650, 0.4199127
 90201, -0.4551346, -0.1016278, -0.3535067, 0.0000655, 0.4223027
 90301, -0.4533042, -0.1020455, -0.3512586, 0.0000661, 0.4247168
 90401, -0.4514496, -0.1024676, -0.3489820, 0.0000666, 0.4271555
 90501, -0.4495716, -0.1028944, -0.3466773, 0.0000672, 0.4296203
 90601, -0.4476708, -0.1033261, -0.3443448, 0.0000678, 0.4321125
 90701, -0.4457484, -0.1037631, -0.3419853, 0.0000685, 0.4346343
 90801, -0.4438053, -0.1042058, -0.3395995, 0.0000692, 0.4371875
 90901, -0.4418423, -0.1046546, -0.3371877, 0.0000699, 0.4397740
 91001, -0.4398612, -0.1051100, -0.3347511, 0.0000707, 0.4423967
 91101, -0.4378626, -0.1055724, -0.3322901, 0.0000716, 0.4450575
 91201, -0.4358478, -0.1060424, -0.3298054, 0.0000725, 0.4477590
 91301, -0.4338185, -0.1065204, -0.3272981, 0.0000735, 0.4505045
 91401, -0.4317755, -0.1070070, -0.3247684, 0.0000745, 0.4532962
 91501, -0.4297204, -0.1075029, -0.3222175, 0.0000756, 0.4561376
 91601, -0.4276540, -0.1080085, -0.3196455, 0.0000767, 0.4590312
 91701, -0.4255771, -0.1085244, -0.3170527, 0.0000780, 0.4619797
 91801, -0.4234904, -0.1090512, -0.3144392, 0.0000792, 0.4649858
 91901, -0.4213954, -0.1095896, -0.3118058, 0.0000806, 0.4680533
 92001, -0.4192919, -0.1101399, -0.3091520, 0.0000819, 0.4711842
 92101, -0.4171810, -0.1107030, -0.3064780, 0.0000834, 0.4743822
 92201, -0.4150627, -0.1112793, -0.3037834, 0.0000849, 0.4776495
 92301, -0.4129364, -0.1118692, -0.3010672, 0.0000865, 0.4809879
 92401, -0.4108037, -0.1124736, -0.2983301, 0.0000881, 0.4844022
 92501, -0.4086640, -0.1130930, -0.2955710, 0.0000898, 0.4878944
 92601, -0.4065180, -0.1137283, -0.2927897, 0.0000915, 0.4914683
 92701, -0.4043662, -0.1143801, -0.2899860, 0.0000933, 0.4951274
 92801, -0.4022083, -0.1150493, -0.2871590, 0.0000953, 0.4988749
 92901, -0.4000463, -0.1157370, -0.2843093, 0.0000973, 0.5027168
 93001, -0.3978807, -0.1164442, -0.2814364, 0.0000993, 0.5066572
 93101, -0.3957128, -0.1171722, -0.2785406, 0.0001016, 0.5107021
 93201, -0.3935416, -0.1179217, -0.2756199, 0.0001039, 0.5148540
 93301, -0.3913658, -0.1186935, -0.2726723, 0.0001060, 0.5191152
 93401, -0.3891781, -0.1194868, -0.2696914, 0.0001080, 0.5234799
 93501, -0.3869720, -0.1203009, -0.2666712, 0.0001098, 0.5279420
 93601, -0.3847396, -0.1211349, -0.2636048, 0.0001113, 0.5324938
 93701, -0.3824708, -0.1219870, -0.2604838, 0.0001125, 0.5371232
 93801, -0.3801534, -0.1228549, -0.2572985, 0.0001133, 0.5418148
 93901, -0.3777744, -0.1237357, -0.2540387, 0.0001135, 0.5465500
 94001, -0.3753198, -0.1246259, -0.2506939, 0.0001132, 0.5513083
 94101, -0.3727777, -0.1255226, -0.2472551, 0.0001126, 0.5560711
 94201, -0.3701387, -0.1264230, -0.2437157, 0.0001116, 0.5608224
 94301, -0.3673965, -0.1273252, -0.2400713, 0.0001104, 0.5655510
 94401, -0.3645482, -0.1282282, -0.2363200, 0.0001091, 0.5702504
 94501, -0.3615931, -0.1291315, -0.2324616, 0.0001078, 0.5749176
 94601, -0.3585323, -0.1300353, -0.2284970, 0.0001065, 0.5795524
 94701, -0.3553673, -0.1309397, -0.2244275, 0.0001052, 0.5841555
 94801, -0.3521003, -0.1318454, -0.2202549, 0.0001040, 0.5887291
 94901, -0.3487337, -0.1327527, -0.2159809, 0.0001029, 0.5932756
 95001, -0.3452690, -0.1336622, -0.2116068, 0.0001018, 0.5977963
 95101, -0.3417083, -0.1345742, -0.2071342, 0.0001008, 0.6022935
 95201, -0.3380531, -0.1354891, -0.2025641, 0.0000997, 0.6067685
 95301, -0.3343048, -0.1364072, -0.1978976, 0.0000988, 0.6112226
 95401, -0.3304642, -0.1373286, -0.1931356, 0.0000978, 0.6156564
 95501, -0.3265323, -0.1382536, -0.1882788, 0.0000969, 0.6200703
 95601, -0.3225096, -0.1391820, -0.1833277, 0.0000960, 0.6244641
 95701, -0.3183966, -0.1401137, -0.1782829, 0.0000950, 0.6288377
 95801, -0.3141935, -0.1410488, -0.1731447, 0.0000942, 0.6331902
 95901, -0.3099005, -0.1419868, -0.1679137, 0.0000932, 0.6375207
 96001, -0.3055177, -0.1429276, -0.1625901, 0.0000923, 0.6418281
 96101, -0.3010453, -0.1438709, -0.1571744, 0.0000914, 0.6461110
 96201, -0.2964834, -0.1448164, -0.1516670, 0.0000905, 0.6503685
 96301, -0.2918322, -0.1457637, -0.1460684, 0.0000895, 0.6545988
 96401, -0.2870918, -0.1467126, -0.1403792, 0.0000886, 0.6588007
 96501, -0.2822624, -0.1476625, -0.1345998, 0.0000876, 0.6629727
 96601, -0.2773444, -0.1486133, -0.1287311, 0.0000867, 0.6671134
 96701, -0.2723379, -0.1495644, -0.1227735, 0.0000858, 0.6712211
 96801, -0.2672434, -0.1505155, -0.1167279, 0.0000848, 0.6752945
 96901, -0.2620612, -0.1514661, -0.1105951, 0.0000839, 0.6793318
 97001, -0.2567917, -0.1524158, -0.1043758, 0.0000829, 0.6833315
 97101, -0.2514354, -0.1533642, -0.0980712, 0.0000819, 0.6872921
 97201, -0.2459931, -0.1543109, -0.0916821, 0.0000809, 0.6912125
 97301, -0.2404654, -0.1552556, -0.0852097, 0.0000799, 0.6950913
 97401, -0.2348532, -0.1561980, -0.0786551, 0.0000790, 0.6989274
 97501, -0.2291572, -0.1571377, -0.0720195, 0.0000780, 0.7027196
 97601, -0.2233784, -0.1580743, -0.0653041, 0.0000770, 0.7064668
 97701, -0.2175177, -0.1590075, -0.0585102, 0.0000760, 0.7101675
 97801, -0.2115759, -0.1599368, -0.0516391, 0.0000751, 0.7138208
 97901, -0.2055539, -0.1608618, -0.0446921, 0.0000741, 0.7174250
 98001, -0.1994527, -0.1617820, -0.0376707, 0.0000731, 0.7209788
 98101, -0.1932731, -0.1626968, -0.0305763, 0.0000722, 0.7244806
 98201, -0.1870162, -0.1636057, -0.0234105, 0.0000712, 0.7279289
 98301, -0.1806829, -0.1645081, -0.0161748, 0.0000702, 0.7313220
 98401, -0.1742742, -0.1654032, -0.0088710, 0.0000693, 0.7346582
 98501, -0.1677913, -0.1662907, -0.0015007, 0.0000683, 0.7379357
 98601, -0.1612353, -0.1671696, 0.0059343, 0.0000673, 0.7411527
 98701, -0.1546072, -0.1680393, 0.0134320, 0.0000663, 0.7443075
 98801, -0.1479084, -0.1688990, 0.0209906, 0.0000654, 0.7473981
 98901, -0.1411401, -0.1697481, 0.0286080, 0.0000644, 0.7504230
 99001, -0.1343035, -0.1705856, 0.0362822, 0.0000634, 0.7533800
 99101, -0.1274000, -0.1714109, 0.0440109, 0.0000625, 0.7562673
 99201, -0.1204311, -0.1722231, 0.0517920, 0.0000615, 0.7590833
 99301, -0.1133982, -0.1730212, 0.0596231, 0.0000606, 0.7618262
 99401, -0.1063027, -0.1738046, 0.0675018, 0.0000597, 0.7644943
 99501, -0.0991464, -0.1745723, 0.0754259, 0.0000588, 0.7670863
 99601, -0.0919308, -0.1753235, 0.0833927, 0.0000579, 0.7696009
 99701, -0.0846575, -0.1760575, 0.0914000, 0.0000570, 0.7720373
 99801, -0.0773284, -0.1767737, 0.0994453, 0.0000562, 0.7743950
 99901, -0.0699452, -0.1774713, 0.1075261, 0.0000554, 0.7766737
100001, -0.0625098, -0.1781499, 0.1156401, 0.0000547, 0.7788738
100101, -0.0550239, -0.1788090, 0.1237851, 0.0000539, 0.7809959
100201, -0.0474894, -0.1794484, 0.1319590, 0.0000533, 0.7830415
100301, -0.0399082, -0.1800681, 0.1401599, 0.0000527, 0.7850125
100401, -0.0322822, -0.1806681, 0.1483860, 0.0000521, 0.7869115
100501, -0.0246131, -0.1812488, 0.1566357, 0.0000516, 0.7887415
100601, -0.0169028, -0.1818106, 0.1649077, 0.0000511, 0.7905059
100701, -0.0091530, -0.1823540, 0.1732010, 0.0000506, 0.7922084
100801, -0.0013653, -0.1828799, 0.1815146, 0.0000503, 0.7938532
100901, 0.0064587, -0.1833892, 0.1898479, 0.0000500, 0.7954447
101001, 0.0143176, -0.1838827, 0.1982002, 0.0000497, 0.7969870
101101, 0.0222099, -0.1843615, 0.2065714, 0.0000494, 0.7984842
101201, 0.0301346, -0.1848264, 0.2149611, 0.0000492, 0.7999402
101301, 0.0380904, -0.1852785, 0.2233689, 0.0000491, 0.8013581
101401, 0.0460763, -0.1857186, 0.2317948, 0.0000489, 0.8027418
101501, 0.0540912, -0.1861475, 0.2402387, 0.0000488, 0.8040938
101601, 0.0621343, -0.1865660, 0.2487004, 0.0000487, 0.8054165
101701, 0.0702048, -0.1869747, 0.2571796, 0.0000486, 0.8067123
101801, 0.0783019, -0.1873746, 0.2656765, 0.0000485, 0.8079837
101901, 0.0864248, -0.1877660, 0.2741908, 0.0000484, 0.8092321
102001, 0.0945730, -0.1881492, 0.2827222, 0.0000484, 0.8104582
102101, 0.1027458, -0.1885246, 0.2912704, 0.0000483, 0.8116635
102201, 0.1109424, -0.1888933, 0.2998357, 0.0000482, 0.8128504
102301, 0.1191624, -0.1892557, 0.3084180, 0.0000482, 0.8140198
102401, 0.1274052, -0.1896115, 0.3170167, 0.0000482, 0.8151715
102501, 0.1356705, -0.1899608, 0.3256313, 0.0000482, 0.8163056
102601, 0.1439576, -0.1903038, 0.3342614, 0.0000482, 0.8174227
102701, 0.1522660, -0.1906413, 0.3429073, 0.0000482, 0.8185245
102801, 0.1605952, -0.1909737, 0.3515689, 0.0000482, 0.8196117
102901, 0.1689447, -0.1913007, 0.3602455, 0.0000482, 0.8206839
103001, 0.1773143, -0.1916226, 0.3689368, 0.0000482, 0.8217415
103101, 0.1857032, -0.1919398, 0.3776430, 0.0000482, 0.8227854
103201, 0.1941111, -0.1922524, 0.3863635, 0.0000482, 0.8238158
103301, 0.2025377, -0.1925601, 0.3950978, 0.0000482, 0.8248322
103401, 0.2109825, -0.1928625, 0.4038451, 0.0000483, 0.8258337
103501, 0.2194453, -0.1931594, 0.4126047, 0.0000483, 0.8268201
103601, 0.2279255, -0.1934510, 0.4213765, 0.0000482, 0.8277920
103701, 0.2364225, -0.1937382, 0.4301607, 0.0000483, 0.8287505
103801, 0.2449359, -0.1940216, 0.4389575, 0.0000483, 0.8296966
103901, 0.2534651, -0.1943017, 0.4477667, 0.0000484, 0.8306311
104001, 0.2620097, -0.1945785, 0.4565882, 0.0000484, 0.8315539
104101, 0.2705694, -0.1948516, 0.4654210, 0.0000484, 0.8324642
104201, 0.2791441, -0.1951203, 0.4742643, 0.0000484, 0.8333612
104301, 0.2877332, -0.1953842, 0.4831174, 0.0000485, 0.8342443
104401, 0.2963365, -0.1956434, 0.4919799, 0.0000485, 0.8351135
104501, 0.3049535, -0.1958979, 0.5008514, 0.0000485, 0.8359690
104601, 0.3135838, -0.1961471, 0.5097308, 0.0000485, 0.8368097
104701, 0.3222271, -0.1963906, 0.5186177, 0.0000486, 0.8376353
104801, 0.3308827, -0.1966295, 0.5275122, 0.0000487, 0.8384471
104901, 0.3395501, -0.1968646, 0.5364147, 0.0000487, 0.8392460
105001, 0.3482288, -0.1970957, 0.5453244, 0.0000487, 0.8400318
105101, 0.3569184, -0.1973225, 0.5542409, 0.0000487, 0.8408041
105201, 0.3656185, -0.1975452, 0.5631638, 0.0000488, 0.8415631
105301, 0.3743286, -0.1977644, 0.5720929, 0.0000488, 0.8423091
105401, 0.3830482, -0.1979797, 0.5810279, 0.0000489, 0.8430421
105501, 0.3917769, -0.1981910, 0.5899679, 0.0000489, 0.8437616
105601, 0.4005145, -0.1983980, 0.5989125, 0.0000490, 0.8444672
105701, 0.4092605, -0.1986003, 0.6078608, 0.0000491, 0.8451587
105801, 0.4180142, -0.1987983, 0.6168126, 0.0000491, 0.8458361
105901, 0.4267754, -0.1989923, 0.6257677, 0.0000492, 0.8464999
106001, 0.4355434, -0.1991822, 0.6347256, 0.0000492, 0.8471498
106101, 0.4443178, -0.1993681, 0.6436859, 0.0000493, 0.8477859
106201, 0.4530982, -0.1995497, 0.6526478, 0.0000493, 0.8484079
106301, 0.4618841, -0.1997269, 0.6616110, 0.0000494, 0.8490155
106401, 0.4706750, -0.1998996, 0.6705747, 0.0000494, 0.8496086
106501, 0.4794706, -0.2000675, 0.6795382, 0.0000495, 0.8501868
106601, 0.4882705, -0.2002301, 0.6885006, 0.0000496, 0.8507495
106701, 0.4970742, -0.2003866, 0.6974608, 0.0000496, 0.8512960
106801, 0.5058813, -0.2005368, 0.7064181, 0.0000497, 0.8518259
106901, 0.5146911, -0.2006816, 0.7153727, 0.0000498, 0.8523402
107001, 0.5235027, -0.2008218, 0.7243246, 0.0000499, 0.8528393
107101, 0.5323158, -0.2009575, 0.7332733, 0.0000500, 0.8533234
107201, 0.5411296, -0.2010887, 0.7422183, 0.0000500, 0.8537921
107301, 0.5499437, -0.2012153, 0.7511590, 0.0000501, 0.8542454
107401, 0.5587575, -0.2013373, 0.7600948, 0.0000502, 0.8546832
107501, 0.5675706, -0.2014543, 0.7690249, 0.0000502, 0.8551051
107601, 0.5763823, -0.2015665, 0.7779488, 0.0000503, 0.8555111
